dteday,time_period,temp,atemp,hum,windspeed,casual,registered,cnt,season,mnth,weekday,weathersit,yr,holiday,workingday
2011-01-13,1,0.1457142857142857,0.1407,0.5028571428571429,0.2707857142857143,1.8571428571428572,72.28571428571429,74.14285714285714,1,1,4,1,0,0,1
2011-01-13,2,0.22400000000000003,0.19698,0.404,0.3821,3.0,60.0,63.0,1,1,4,1,0,0,1
2011-01-13,3,0.18,0.16665,0.435,0.2724,2.0,115.25,117.25,1,1,4,1,0,0,1
2011-01-13,4,0.1375,0.1231,0.50125,0.29105000000000003,0.25,12.625,12.875,1,1,4,1,0,0,1
2011-01-14,1,0.13142857142857142,0.1580142857142857,0.6071428571428571,0.12367142857142857,1.7142857142857142,65.0,66.71428571428571,1,1,5,1,0,0,1
2011-01-14,2,0.22000000000000003,0.21817999999999999,0.40199999999999997,0.23881999999999998,4.6,67.4,72.0,1,1,5,1,0,0,1
2011-01-14,3,0.19,0.231075,0.515,0.06345,3.0,111.5,114.5,1,1,5,1,0,0,1
2011-01-14,4,0.13142857142857142,0.17317142857142856,0.5785714285714285,0.08528571428571428,1.0,18.428571428571427,19.428571428571427,1,1,5,1,0,0,1
2011-01-15,1,0.16,0.19048571428571429,0.6085714285714285,0.10874285714285714,3.5714285714285716,25.142857142857142,28.714285714285715,1,1,6,1,0,0,0
2011-01-15,2,0.296,0.28486,0.39,0.23879999999999998,23.2,89.8,113.0,1,1,6,1,0,0,0
2011-01-15,3,0.315,0.29922499999999996,0.3975,0.261175,16.0,54.5,70.5,1,1,6,2,0,0,0
2011-01-15,4,0.2175,0.25001249999999997,0.52125,0.0989,2.125,22.875,25.0,1,1,6,2,0,0,0
2011-01-16,1,0.23714285714285713,0.22727142857142857,0.5271428571428572,0.24307142857142858,5.0,27.571428571428573,32.57142857142857,1,1,0,1,0,0,0
2011-01-16,2,0.256,0.23636,0.376,0.26267999999999997,26.2,78.8,105.0,1,1,0,1,0,0,0
2011-01-16,3,0.195,0.20455,0.4275,0.1791,13.75,58.75,72.5,1,1,0,1,0,0,0
2011-01-16,4,0.23,0.2537875,0.54125,0.0988875,3.75,16.375,20.125,1,1,0,1,0,0,0
2011-01-17,1,0.1657142857142857,0.16665714285714284,0.4785714285714286,0.19828571428571426,4.428571428571429,27.0,31.428571428571427,1,1,1,2,0,1,0
2011-01-17,2,0.188,0.20606,0.462,0.1403,12.4,74.4,86.8,1,1,1,2,0,1,0
2011-01-17,3,0.18,0.17425,0.6125,0.208925,4.25,59.75,64.0,1,1,1,3,0,1,0
2011-01-17,4,0.175,0.168575,0.59875,0.2164,0.875,10.375,11.25,1,1,1,2,0,1,0
2011-01-18,2,0.21200000000000002,0.21214,0.852,0.21494,1.0,28.8,29.8,1,1,2,2,0,0,1
2011-01-18,3,0.22,0.23865,0.8225,0.12312500000000001,0.75,109.25,110.0,1,1,2,2,0,0,1
2011-01-18,4,0.22,0.25756666666666667,0.93,0.0647,0.3333333333333333,31.0,31.333333333333332,1,1,2,2,0,0,1
2011-01-19,1,0.24285714285714285,0.2662428571428571,0.92,0.10237142857142857,1.4285714285714286,74.85714285714286,76.28571428571429,1,1,3,2,0,0,1
2011-01-19,2,0.376,0.38788,0.626,0.25972,7.4,74.4,81.8,1,1,3,1,0,0,1
2011-01-19,3,0.335,0.3106,0.5599999999999999,0.3321,4.5,132.0,136.5,1,1,3,1,0,0,1
2011-01-19,4,0.2571428571428572,0.25974285714285716,0.75,0.2068142857142857,1.8571428571428572,21.142857142857142,23.0,1,1,3,1,0,0,1
2011-01-20,1,0.24000000000000002,0.22727142857142857,0.5357142857142857,0.23455714285714285,1.7142857142857142,92.42857142857143,94.14285714285714,1,1,4,1,0,0,1
2011-01-20,2,0.3,0.30907999999999997,0.45199999999999996,0.11341999999999999,8.2,76.6,84.8,1,1,4,2,0,0,1
2011-01-20,3,0.27,0.261375,0.5525,0.22762500000000002,4.25,165.25,169.5,1,1,4,2,0,0,1
2011-01-20,4,0.2525,0.242425,0.5875,0.197775,1.625,19.125,20.75,1,1,4,1,0,0,1
2011-01-21,1,0.21142857142857144,0.18614285714285714,0.5028571428571429,0.36674285714285715,4.142857142857143,82.28571428571429,86.42857142857143,1,1,5,1,0,0,1
2011-01-21,2,0.188,0.14848,0.25,0.49851999999999996,5.8,69.2,75.0,1,1,5,1,0,0,1
2011-01-21,3,0.12,0.106075,0.3025,0.33955,3.75,103.75,107.5,1,1,5,1,0,0,1
2011-01-21,4,0.16999999999999998,0.1647875,0.62375,0.257475,0.25,16.375,16.625,1,1,5,1,0,0,1
2011-01-22,1,0.03333333333333333,0.035366666666666664,0.42,0.23135000000000003,1.8333333333333333,30.333333333333332,32.166666666666664,1,1,6,1,0,0,0
2011-01-22,2,0.096,0.13942,0.324,0.0806,10.8,72.2,83.0,1,1,6,1,0,0,0
2011-01-22,3,0.08499999999999999,0.11745,0.3575,0.12312500000000001,3.75,52.5,56.25,1,1,6,1,0,0,0
2011-01-22,4,0.0425,0.0549375,0.45375,0.2089625,1.625,16.875,18.5,1,1,6,1,0,0,0
2011-01-23,1,0.08571428571428573,0.09311428571428572,0.5385714285714286,0.21537142857142857,5.0,25.0,30.0,1,1,0,1,0,0,0
2011-01-23,2,0.156,0.1273,0.304,0.37912,15.0,76.0,91.0,1,1,0,1,0,0,0
2011-01-23,3,0.12,0.11365,0.305,0.294775,4.75,42.5,47.25,1,1,0,1,0,0,0
2011-01-23,4,0.05142857142857143,0.07577142857142857,0.5042857142857142,0.15564285714285714,3.0,15.857142857142858,18.857142857142858,1,1,0,1,0,0,0
2011-01-24,1,0.05142857142857143,0.11472857142857143,0.45999999999999996,0.051171428571428576,3.4285714285714284,63.57142857142857,67.0,1,1,1,1,0,0,1
2011-01-24,2,0.144,0.14548,0.43600000000000005,0.21193999999999996,6.0,53.0,59.0,1,1,1,2,0,0,1
2011-01-24,3,0.14,0.136375,0.5549999999999999,0.20147500000000002,5.0,126.0,131.0,1,1,1,1,0,0,1
2011-01-24,4,0.08571428571428573,0.09091428571428571,0.5271428571428571,0.20254285714285714,1.7142857142857142,16.571428571428573,18.285714285714285,1,1,1,1,0,0,1
2011-01-25,1,0.18285714285714286,0.1948,0.6857142857142857,0.145,4.714285714285714,88.28571428571429,93.0,1,1,2,2,0,0,1
2011-01-25,2,0.292,0.31818,0.48200000000000004,0.04478,17.6,75.8,93.4,1,1,2,2,0,0,1
2011-01-25,3,0.275,0.2841,0.56,0.11195000000000001,12.5,165.5,178.0,1,1,2,1,0,0,1
2011-01-25,4,0.18571428571428572,0.18617142857142857,0.6771428571428572,0.18551428571428571,2.142857142857143,20.0,22.142857142857142,1,1,2,1,0,0,1
2011-01-26,1,0.21428571428571427,0.2012857142857143,0.8842857142857143,0.2963857142857143,2.142857142857143,31.857142857142858,34.0,1,1,3,3,0,0,1
2011-01-26,2,0.22000000000000003,0.19396,0.93,0.36122,2.6,39.4,42.0,1,1,3,3,0,0,1
2011-01-26,3,0.2,0.1818,0.93,0.3582,0.0,26.0,26.0,1,1,3,3,0,0,1
2011-01-26,4,0.22666666666666666,0.23233333333333336,0.6766666666666666,0.1542,2.0,8.666666666666666,10.666666666666666,1,1,3,2,0,0,1
2011-01-27,2,0.22,0.2273,0.55,0.194,1.0,23.0,24.0,1,1,4,1,0,0,1
2011-01-27,3,0.2,0.227275,0.6675,0.09332499999999999,3.0,78.5,81.5,1,1,4,1,0,0,1
2011-01-27,4,0.18000000000000002,0.20706666666666665,0.7600000000000001,0.11446666666666667,0.6666666666666666,26.333333333333332,27.0,1,1,4,1,0,0,1
2011-01-28,1,0.1742857142857143,0.20562857142857144,0.8528571428571429,0.10237142857142857,1.4285714285714286,58.142857142857146,59.57142857142857,1,1,5,2,0,0,1
2011-01-28,2,0.2,0.24544000000000002,0.8640000000000001,0.0418,2.8,41.0,43.8,1,1,5,3,0,0,1
2011-01-28,3,0.24,0.23485,0.7375,0.16415000000000002,2.5,99.75,102.25,1,1,5,1,0,0,1
2011-01-28,4,0.21428571428571427,0.2186142857142857,0.7142857142857143,0.1791,0.5714285714285714,16.857142857142858,17.428571428571427,1,1,5,2,0,0,1
2011-01-29,1,0.17333333333333334,0.19696666666666665,0.6083333333333333,0.12190000000000001,2.0,30.333333333333332,32.333333333333336,1,1,6,1,0,0,0
2011-01-29,2,0.22000000000000003,0.22122000000000003,0.606,0.18208,14.4,79.4,93.8,1,1,6,2,0,0,0
2011-01-29,3,0.215,0.23485,0.6799999999999999,0.11939999999999999,6.25,58.75,65.0,1,1,6,1,0,0,0
2011-01-29,4,0.19,0.20645,0.69875,0.153,1.75,20.125,21.875,1,1,6,1,0,0,0
2011-01-30,1,0.16333333333333333,0.22978333333333334,0.8216666666666667,0.0,3.5,26.333333333333332,29.833333333333332,1,1,0,1,0,0,0
2011-01-30,2,0.292,0.31514,0.5720000000000001,0.059719999999999995,14.8,92.2,107.0,1,1,0,1,0,0,0
2011-01-30,3,0.27,0.26895,0.6275000000000001,0.16417500000000002,6.5,51.0,57.5,1,1,0,1,0,0,0
2011-01-30,4,0.1825,0.2159,0.7887500000000001,0.0932875,2.375,16.625,19.0,1,1,0,1,0,0,0
2011-01-31,1,0.16285714285714287,0.1450428571428571,0.6185714285714285,0.26652857142857145,1.0,74.85714285714286,75.85714285714286,1,1,1,2,0,0,1
2011-01-31,2,0.16799999999999998,0.2,0.568,0.11341999999999999,3.0,64.6,67.6,1,1,1,2,0,0,1
2011-01-31,3,0.195,0.19697499999999998,0.585,0.17165,3.0,123.5,126.5,1,1,1,2,0,0,1
2011-01-31,4,0.1975,0.20835,0.6225,0.17165,1.0,14.75,15.75,1,1,1,1,0,0,1
2011-02-01,1,0.15714285714285717,0.22511428571428574,0.92,0.0,1.0,59.857142857142854,60.857142857142854,1,2,2,3,0,0,1
2011-02-01,2,0.22000000000000003,0.26061999999999996,0.8039999999999999,0.04478,4.0,51.4,55.4,1,2,2,2,0,0,1
2011-02-01,3,0.235,0.2538,0.81,0.093275,3.75,127.75,131.5,1,2,2,2,0,0,1
2011-02-01,4,0.18285714285714286,0.2143,0.7685714285714286,0.08955714285714286,0.7142857142857143,18.0,18.714285714285715,1,2,2,2,0,0,1
2011-02-02,1,0.22571428571428573,0.2380857142857143,0.9400000000000001,0.13434285714285712,2.0,63.857142857142854,65.85714285714286,1,2,3,3,0,0,1
2011-02-02,2,0.33999999999999997,0.33634,0.8300000000000001,0.28062,4.8,71.4,76.2,1,2,3,1,0,0,1
2011-02-02,3,0.305,0.261375,0.47,0.529825,5.25,129.25,134.5,1,2,3,1,0,0,1
2011-02-02,4,0.2175,0.214025,0.75,0.235075,1.625,16.625,18.25,1,2,3,3,0,0,1
2011-02-03,1,0.16,0.1342142857142857,0.4657142857142857,0.3454285714285715,3.142857142857143,77.57142857142857,80.71428571428571,1,2,4,1,0,0,1
2011-02-03,2,0.21200000000000002,0.19092,0.382,0.34926,3.8,57.2,61.0,1,2,4,1,0,0,1
2011-02-03,3,0.2,0.2235,0.4175,0.11195000000000001,3.0,128.75,131.75,1,2,4,1,0,0,1
2011-02-03,4,0.18857142857142858,0.18615714285714285,0.4614285714285714,0.25374285714285716,1.1428571428571428,20.714285714285715,21.857142857142858,1,2,4,1,0,0,1
2011-02-04,1,0.16571428571428573,0.1948,0.6185714285714285,0.1002,2.2857142857142856,81.14285714285714,83.42857142857143,1,2,5,2,0,0,1
2011-02-04,2,0.272,0.26666,0.466,0.20598,9.8,79.8,89.6,1,2,5,2,0,0,1
2011-02-04,3,0.245,0.253775,0.615,0.134325,4.0,129.5,133.5,1,2,5,2,0,0,1
2011-02-04,4,0.1942857142857143,0.2207857142857143,0.62,0.09595714285714285,1.0,19.285714285714285,20.285714285714285,1,2,5,2,0,0,1
2011-02-05,1,0.2057142857142857,0.2337857142857143,0.99,0.08957142857142857,1.0,17.285714285714285,18.285714285714285,1,2,6,3,0,0,0
2011-02-05,2,0.22000000000000003,0.24546,1.0,0.09254,8.8,53.2,62.0,1,2,6,3,0,0,0
2011-02-05,3,0.275,0.2462,0.9325,0.358225,6.75,71.75,78.5,1,2,6,2,0,0,0
2011-02-05,4,0.245,0.2481,0.8300000000000001,0.16791250000000002,2.75,28.875,31.625,1,2,6,2,0,0,0
2011-02-06,1,0.2714285714285714,0.2705714285714286,0.5814285714285715,0.18977142857142856,7.428571428571429,33.142857142857146,40.57142857142857,1,2,0,1,0,0,0
2011-02-06,2,0.34,0.34848,0.466,0.05674,47.2,124.0,171.2,1,2,0,1,0,0,0
2011-02-06,3,0.30000000000000004,0.3106,0.56,0.10075,10.75,50.75,61.5,1,2,0,1,0,0,0
2011-02-06,4,0.2575,0.26516249999999997,0.625,0.17351250000000001,2.875,26.75,29.625,1,2,0,1,0,0,0
2011-02-07,1,0.21142857142857144,0.25974285714285716,0.8357142857142856,0.02772857142857143,5.0,78.57142857142857,83.57142857142857,1,2,1,1,0,0,1
2011-02-07,2,0.356,0.36361999999999994,0.5740000000000001,0.08062,9.0,61.8,70.8,1,2,1,2,0,0,1
2011-02-07,3,0.325,0.333325,0.69,0.10075,6.25,145.5,151.75,1,2,1,2,0,0,1
2011-02-07,4,0.245,0.289775,0.78,0.0112,1.875,18.875,20.75,1,2,1,1,0,0,1
2011-02-08,1,0.24,0.20131428571428572,0.5971428571428571,0.43922857142857147,3.142857142857143,85.0,88.14285714285714,1,2,2,1,0,0,1
2011-02-08,2,0.22799999999999998,0.19396,0.354,0.45374,3.4,59.2,62.6,1,2,2,1,0,0,1
2011-02-08,3,0.185,0.1553,0.36,0.44032499999999997,2.25,119.0,121.25,1,2,2,1,0,0,1
2011-02-08,4,0.21750000000000003,0.2197125,0.6900000000000001,0.197775,2.0,12.375,14.375,1,2,2,1,0,0,1
2011-02-09,1,0.09714285714285716,0.13854285714285713,0.42714285714285716,0.07677142857142857,2.5714285714285716,79.0,81.57142857142857,1,2,3,1,0,0,1
2011-02-09,2,0.192,0.18182,0.37,0.26267999999999997,3.6,62.6,66.2,1,2,3,2,0,0,1
2011-02-09,3,0.165,0.1591,0.6325,0.242525,3.0,124.0,127.0,1,2,3,2,0,0,1
2011-02-09,4,0.1142857142857143,0.11474285714285715,0.5728571428571428,0.21748571428571428,0.7142857142857143,27.142857142857142,27.857142857142858,1,2,3,1,0,0,1
2011-02-10,1,0.11714285714285715,0.10391428571428572,0.4657142857142857,0.3241,1.1428571428571428,71.85714285714286,73.0,1,2,4,1,0,0,1
2011-02-10,2,0.188,0.17273999999999998,0.284,0.30448,3.4,58.4,61.8,1,2,4,1,0,0,1
2011-02-10,3,0.155,0.178025,0.28250000000000003,0.1306,3.75,129.75,133.5,1,2,4,1,0,0,1
2011-02-10,4,0.13428571428571429,0.16234285714285715,0.6071428571428571,0.113,1.0,25.285714285714285,26.285714285714285,1,2,4,1,0,0,1
2011-02-11,1,0.12000000000000001,0.1536857142857143,0.6685714285714285,0.11514285714285714,4.428571428571429,76.42857142857143,80.85714285714286,1,2,5,1,0,0,1
2011-02-11,2,0.27599999999999997,0.26972,0.31399999999999995,0.18803999999999998,14.2,78.6,92.8,1,2,5,1,0,0,1
2011-02-11,3,0.265,0.29545,0.35000000000000003,0.033575,9.0,128.25,137.25,1,2,5,1,0,0,1
2011-02-11,4,0.14666666666666667,0.18183333333333332,0.5816666666666667,0.0846,1.8333333333333333,26.0,27.833333333333332,1,2,5,1,0,0,1
2011-02-12,1,0.16857142857142857,0.1818142857142857,0.6657142857142857,0.17697142857142856,7.571428571428571,33.142857142857146,40.714285714285715,1,2,6,1,0,0,0
2011-02-12,2,0.324,0.29392,0.33399999999999996,0.4,35.6,103.2,138.8,1,2,6,1,0,0,0
2011-02-12,3,0.28500000000000003,0.26895,0.37,0.30972500000000003,7.75,62.75,70.5,1,2,6,1,0,0,0
2011-02-12,4,0.17500000000000002,0.22160000000000002,0.65625,0.0503875,3.25,23.125,26.375,1,2,6,1,0,0,0
2011-02-13,1,0.25,0.25,0.5533333333333333,0.2214,10.0,37.333333333333336,47.333333333333336,1,2,0,2,0,0,0
2011-02-13,2,0.392,0.39089999999999997,0.298,0.37313999999999997,47.8,104.8,152.6,1,2,0,2,0,0,0
2011-02-13,3,0.405,0.412875,0.325,0.30972500000000003,18.25,63.75,82.0,1,2,0,1,0,0,0
2011-02-13,4,0.275,0.29357500000000003,0.55125,0.1959125,3.125,23.625,26.75,1,2,0,1,0,0,0
2011-02-14,1,0.39142857142857146,0.37877142857142854,0.3971428571428572,0.31557142857142856,5.285714285714286,83.42857142857143,88.71428571428571,1,2,1,1,0,0,1
2011-02-14,2,0.5640000000000001,0.5394,0.20800000000000002,0.48956,20.6,88.2,108.8,1,2,1,1,0,0,1
2011-02-14,3,0.4,0.39392499999999997,0.405,0.54475,13.25,140.75,154.0,1,2,1,1,0,0,1
2011-02-14,4,0.35,0.3295375,0.4475,0.39925,1.875,14.625,16.5,1,2,1,1,0,0,1
2011-02-15,1,0.22,0.19695714285714286,0.29857142857142854,0.3560857142857143,4.285714285714286,78.71428571428571,83.0,1,2,2,1,0,0,1
2011-02-15,2,0.324,0.30907999999999997,0.20400000000000001,0.22388,12.4,70.6,83.0,1,2,2,1,0,0,1
2011-02-15,3,0.29000000000000004,0.29164999999999996,0.2575,0.14925,8.75,157.25,166.0,1,2,2,1,0,0,1
2011-02-15,4,0.2571428571428572,0.2510857142857143,0.4414285714285714,0.3560857142857143,1.8571428571428572,20.285714285714285,22.142857142857142,1,2,2,1,0,0,1
2011-02-16,1,0.23714285714285716,0.22295714285714285,0.4842857142857143,0.25374285714285716,5.0,85.71428571428571,90.71428571428571,1,2,3,1,0,0,1
2011-02-16,2,0.43600000000000005,0.43632,0.298,0.3821,21.0,79.0,100.0,1,2,3,1,0,0,1
2011-02-16,3,0.395,0.39392499999999997,0.41000000000000003,0.23135,14.75,174.25,189.0,1,2,3,1,0,0,1
2011-02-16,4,0.27142857142857146,0.27922857142857144,0.46,0.16844285714285714,2.7142857142857144,29.285714285714285,32.0,1,2,3,1,0,0,1
2011-02-17,1,0.3485714285714286,0.35495714285714286,0.5785714285714285,0.15138571428571426,11.714285714285714,106.42857142857143,118.14285714285714,1,2,4,1,0,0,1
2011-02-17,2,0.556,0.5485,0.33799999999999997,0.24478,20.0,91.4,111.4,1,2,4,1,0,0,1
2011-02-17,3,0.52,0.5000249999999999,0.47,0.30972500000000003,12.75,189.75,202.5,1,2,4,1,0,0,1
2011-02-17,4,0.395,0.38256249999999997,0.5625,0.25,3.25,31.875,35.125,1,2,4,1,0,0,1
2011-02-18,1,0.4342857142857143,0.4350428571428572,0.7342857142857142,0.18124285714285712,14.285714285714286,103.14285714285714,117.42857142857143,1,2,5,2,0,0,1
2011-02-18,2,0.616,0.59392,0.42000000000000004,0.2597,60.0,131.2,191.2,1,2,5,1,0,0,1
2011-02-18,3,0.63,0.6212,0.3175,0.365675,29.0,180.25,209.25,1,2,5,1,0,0,1
2011-02-18,4,0.485,0.4734875,0.48625,0.2910375,7.875,31.125,39.0,1,2,5,1,0,0,1
2011-02-19,1,0.4028571428571429,0.4112428571428572,0.16285714285714287,0.5245285714285713,16.714285714285715,34.714285714285715,51.42857142857143,1,2,6,1,0,0,0
2011-02-19,2,0.44400000000000006,0.44242,0.162,0.62984,63.0,89.2,152.2,1,2,6,1,0,0,0
2011-02-19,3,0.36,0.333325,0.2525,0.485075,17.75,62.5,80.25,1,2,6,1,0,0,0
2011-02-19,4,0.3875,0.37120000000000003,0.19375,0.4272375,3.625,20.5,24.125,1,2,6,1,0,0,0
2011-02-20,1,0.22666666666666668,0.22475,0.45,0.21641666666666667,19.333333333333332,38.666666666666664,58.0,1,2,0,1,0,0,0
2011-02-20,2,0.344,0.34543999999999997,0.29,0.08957999999999999,74.2,107.2,181.4,1,2,0,1,0,0,0
2011-02-20,3,0.34,0.34467499999999995,0.3675,0.1082,26.25,56.5,82.75,1,2,0,2,0,0,0
2011-02-20,4,0.265,0.240525,0.47,0.3694,5.875,22.375,28.25,1,2,0,1,0,0,0
2011-02-21,1,0.3514285714285714,0.3506142857142857,0.4514285714285714,0.21748571428571428,10.428571428571429,35.42857142857143,45.857142857142854,1,2,1,2,0,1,0
2011-02-21,2,0.304,0.2818,0.736,0.32836,17.6,73.4,91.0,1,2,1,2,0,1,0
2011-02-21,3,0.25,0.223475,0.825,0.37315,5.0,51.0,56.0,1,2,1,2,0,1,0
2011-02-21,4,0.28750000000000003,0.257575,0.5475,0.3414375,1.75,11.625,13.375,1,2,1,2,0,1,0
2011-02-22,1,0.1366666666666667,0.14898333333333333,0.745,0.1791,3.1666666666666665,57.0,60.166666666666664,1,2,2,2,0,0,1
2011-02-22,2,0.22000000000000003,0.2273,0.536,0.16418,5.6,59.0,64.6,1,2,2,1,0,0,1
2011-02-22,3,0.21000000000000002,0.20455,0.48,0.216425,5.25,141.25,146.5,1,2,2,1,0,0,1
2011-02-22,4,0.17333333333333334,0.16666666666666666,0.44333333333333336,0.2537,2.0,58.0,60.0,1,2,2,1,0,0,1
2011-02-23,1,0.16,0.19047142857142857,0.4857142857142857,0.10022857142857143,5.571428571428571,85.0,90.57142857142857,1,2,3,1,0,0,1
2011-02-23,2,0.312,0.3303,0.284,0.07465999999999999,14.0,65.6,79.6,1,2,3,1,0,0,1
